man,manLabel
http://www.wikidata.org/entity/Q122121,Hans Kauffmann
http://www.wikidata.org/entity/Q122162,Helmut Kyrieleis
http://www.wikidata.org/entity/Q122267,Wilhelm Pinder
http://www.wikidata.org/entity/Q122512,August Rossbach
http://www.wikidata.org/entity/Q122636,Stefan Hess
http://www.wikidata.org/entity/Q122738,Heinz Luschey
http://www.wikidata.org/entity/Q123143,Sigfried Giedion
http://www.wikidata.org/entity/Q123413,Titus Burckhardt
http://www.wikidata.org/entity/Q123437,Johann Jakob Bernoulli
http://www.wikidata.org/entity/Q123466,Heinrich Wölfflin
http://www.wikidata.org/entity/Q123499,Paul Nizon
http://www.wikidata.org/entity/Q123516,Eugen Gomringer
http://www.wikidata.org/entity/Q123791,Martin Wackernagel
http://www.wikidata.org/entity/Q124186,Hugo von Tschudi
http://www.wikidata.org/entity/Q124190,Karl von Lützow
http://www.wikidata.org/entity/Q124550,Q124550
http://www.wikidata.org/entity/Q124602,Wilhelm Vöge
http://www.wikidata.org/entity/Q125041,Günter Bandmann
http://www.wikidata.org/entity/Q125202,Johann Rudolf Rahn
http://www.wikidata.org/entity/Q125219,Heinrich von Geymüller
http://www.wikidata.org/entity/Q125453,Gotthard Jedlicka
http://www.wikidata.org/entity/Q125637,Heinrich Kohl
http://www.wikidata.org/entity/Q125726,Pierre Gros
http://www.wikidata.org/entity/Q125776,Stephan Blum
http://www.wikidata.org/entity/Q126414,Bernd Lasch
http://www.wikidata.org/entity/Q126578,Werner Schmidt
http://www.wikidata.org/entity/Q128027,Giorgio Vasari
http://www.wikidata.org/entity/Q133731,Q133731
http://www.wikidata.org/entity/Q135092,Lajos Fülep
http://www.wikidata.org/entity/Q144164,Beaumont Newhall
http://www.wikidata.org/entity/Q151164,André Malraux
http://www.wikidata.org/entity/Q151774,Max Schmid-Burgk
http://www.wikidata.org/entity/Q151886,Nikodim Kondakov
http://www.wikidata.org/entity/Q154270,Bertrand Lemoine
http://www.wikidata.org/entity/Q160021,Miroslav Tyrš
http://www.wikidata.org/entity/Q162912,Bedřich Václavek
http://www.wikidata.org/entity/Q164582,Vytautas Landsbergis
http://www.wikidata.org/entity/Q166033,Paul Faure
http://www.wikidata.org/entity/Q167429,Ephraim Kishon
