woman,womanLabel
http://www.wikidata.org/entity/Q4749395,Amy Standen
http://www.wikidata.org/entity/Q4753465,Anda Rottenberg
http://www.wikidata.org/entity/Q4938691,Irja Bergström
http://www.wikidata.org/entity/Q4939762,Gerda Boëthius
http://www.wikidata.org/entity/Q4939983,Gunvor Bonds
http://www.wikidata.org/entity/Q4940233,Q4940233
http://www.wikidata.org/entity/Q4942257,Q4942257
http://www.wikidata.org/entity/Q4942315,Bonnie Clearwater
http://www.wikidata.org/entity/Q4943562,Q4943562
http://www.wikidata.org/entity/Q4945630,Patricia Buckley Ebrey
http://www.wikidata.org/entity/Q4947909,Siegrun Fernlund
http://www.wikidata.org/entity/Q4949712,Q4949712
http://www.wikidata.org/entity/Q4951706,Q4951706
http://www.wikidata.org/entity/Q4953057,Q4953057
http://www.wikidata.org/entity/Q4953662,Ingegerd Henschen-Ingvar
http://www.wikidata.org/entity/Q4956130,Emma Jacobsson
http://www.wikidata.org/entity/Q4958715,Else Christie Kielland
http://www.wikidata.org/entity/Q4961244,Uta Lauer
http://www.wikidata.org/entity/Q4962084,Lena Liepe
http://www.wikidata.org/entity/Q4962290,Maria Lind
http://www.wikidata.org/entity/Q4962363,Anna Lena Lindberg
http://www.wikidata.org/entity/Q4969973,Eva Nordenson
http://www.wikidata.org/entity/Q4974363,Jasia Reichardt
http://www.wikidata.org/entity/Q4975439,Astrid von Rosen
http://www.wikidata.org/entity/Q4976045,Q4976045
http://www.wikidata.org/entity/Q4978472,Q4978472
http://www.wikidata.org/entity/Q4978890,Q4978890
http://www.wikidata.org/entity/Q4981664,Q4981664
http://www.wikidata.org/entity/Q4990132,Berit Wallenberg
http://www.wikidata.org/entity/Q4990313,Q4990313
http://www.wikidata.org/entity/Q4990464,Q4990464
http://www.wikidata.org/entity/Q4990548,Q4990548
http://www.wikidata.org/entity/Q5026617,Camille Akeju
http://www.wikidata.org/entity/Q5044598,Carol Wax
http://www.wikidata.org/entity/Q5044995,Caroline Bruzelius
http://www.wikidata.org/entity/Q5045057,Caroline Elam
http://www.wikidata.org/entity/Q5052101,Catharine Elizabeth Bean Cox
http://www.wikidata.org/entity/Q5113626,Christy Anderson
http://www.wikidata.org/entity/Q5125984,Clara Erskine Clement
http://www.wikidata.org/entity/Q5192622,Cuesta Benberry
http://www.wikidata.org/entity/Q5219321,Daniella Ohad Smith
http://www.wikidata.org/entity/Q5248293,Deborah Klimburg-Salter
http://www.wikidata.org/entity/Q5248410,Deborah Willis
http://www.wikidata.org/entity/Q5271253,Diana Nemiroff
http://www.wikidata.org/entity/Q5277845,Dina Iordanova
http://www.wikidata.org/entity/Q5297942,Doris Heyden
http://www.wikidata.org/entity/Q5298334,Dorothy Burr Thompson
http://www.wikidata.org/entity/Q5298473,Dorothy Jean Ray
http://www.wikidata.org/entity/Q5298492,Dorothy Kosinski
http://www.wikidata.org/entity/Q5313298,Dulari Qureshi
http://www.wikidata.org/entity/Q5331519,Ebba Koch
http://www.wikidata.org/entity/Q5338645,Edith Porada
http://www.wikidata.org/entity/Q5354255,Eleanor Cross Marquand
http://www.wikidata.org/entity/Q5354302,Q5354302
http://www.wikidata.org/entity/Q5362980,Elizabeth Hill Boone
http://www.wikidata.org/entity/Q5363297,Elizabeth P. Benson
http://www.wikidata.org/entity/Q5363378,Elizabeth Prettejohn
http://www.wikidata.org/entity/Q5364859,Ellen H. Johnson
http://www.wikidata.org/entity/Q5364869,Ellen Handy
http://www.wikidata.org/entity/Q5367092,Eloise Quiñones Keber
http://www.wikidata.org/entity/Q5371616,Emilia Francis Strong Dilke
http://www.wikidata.org/entity/Q5408338,Q5408338
http://www.wikidata.org/entity/Q5418843,Ewa Lajer-Burcharth
http://www.wikidata.org/entity/Q5478587,Frances Daly Fergusson
http://www.wikidata.org/entity/Q5478956,Frances Spalding
http://www.wikidata.org/entity/Q5516039,Gabriella De Ferrari
http://www.wikidata.org/entity/Q5521427,Q5521427
http://www.wikidata.org/entity/Q5529951,Q5529951
http://www.wikidata.org/entity/Q5553382,Gertrude Rosenthal
http://www.wikidata.org/entity/Q5562267,Belén Boloqui Larraya
http://www.wikidata.org/entity/Q5591314,Grace Morley
http://www.wikidata.org/entity/Q5626984,Q5626984
http://www.wikidata.org/entity/Q5648848,Hannah Higgins
http://www.wikidata.org/entity/Q5664057,Harriet Bridgeman
http://www.wikidata.org/entity/Q5673864,Ana Martínez
http://www.wikidata.org/entity/Q5696247,Anna Libera Dallapiccola
http://www.wikidata.org/entity/Q5702200,Q5702200
http://www.wikidata.org/entity/Q5702331,Helen Gardner
http://www.wikidata.org/entity/Q5712122,Aurora León Alonso
http://www.wikidata.org/entity/Q5724161,Beatriz González
http://www.wikidata.org/entity/Q5752500,Simonka de Jong
http://www.wikidata.org/entity/Q5753096,Carol Damian
http://www.wikidata.org/entity/Q5829568,Elisa Vargaslugo Rangel
http://www.wikidata.org/entity/Q5849655,Estrella de Diego
http://www.wikidata.org/entity/Q5926115,Q5926115
http://www.wikidata.org/entity/Q6003448,María Bolaños
http://www.wikidata.org/entity/Q6003620,Q6003620
http://www.wikidata.org/entity/Q6015191,Q6015191
http://www.wikidata.org/entity/Q6026613,Q6026613
http://www.wikidata.org/entity/Q6032302,Q6032302
http://www.wikidata.org/entity/Q6033275,Ingrid Roscoe
http://www.wikidata.org/entity/Q6033285,Ingrid Schaffner
http://www.wikidata.org/entity/Q6045088,Q6045088
http://www.wikidata.org/entity/Q6050349,Emel Esin
http://www.wikidata.org/entity/Q6069067,Irene J. Winter
http://www.wikidata.org/entity/Q6071863,Q6071863
http://www.wikidata.org/entity/Q6072039,Irma Ingertha Gram
http://www.wikidata.org/entity/Q6100460,Raquel Castelo Ruano
http://www.wikidata.org/entity/Q6100511,Raquel Tibol
http://www.wikidata.org/entity/Q6100851,Raymonde Moulin
http://www.wikidata.org/entity/Q6120166,Jacqueline Moss
http://www.wikidata.org/entity/Q6127055,Shifra Goldman
http://www.wikidata.org/entity/Q8025399,Winifred Lamb
http://www.wikidata.org/entity/Q8386273,Beatriz Colomina
http://www.wikidata.org/entity/Q8861342,Maria Gdowska
http://www.wikidata.org/entity/Q8960593,Ewa Kuryluk
http://www.wikidata.org/entity/Q9016445,Juliet Wilson–Bareau
