woman,womanLabel,citizenships
http://www.wikidata.org/entity/Q65963571,Janez Mesesnel,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q65963628,Stane Mikuž,"Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q65963649,Milena Moškon,"Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q65964538,Melita Stele-Možina,"Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q55672909,Janko Traven,Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q55838595,Josef Mantuani,"Impero austro-ungarico/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q65964592,Hanka Štular,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q65966210,Joško Vetrih,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q65966413,Darinka Zelinka,"Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q56165228,Margarit Ter-Simonyan,Stati Uniti d'America/Armenia/Unione Sovietica
http://www.wikidata.org/entity/Q56565914,Q56565914,Stati Uniti d'America/Armenia/Unione Sovietica
http://www.wikidata.org/entity/Q57395789,Karl Drechsler,Austria/Impero austriaco/Cisleitania
http://www.wikidata.org/entity/Q41774379,Emil Smole,"Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q59533053,Marco Pozzetto,"Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q59858667,Vanda Bezek,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q59961129,Fran Šijanec,Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q60039870,Maja Vetrih,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q60048364,Ciril Velepič,"Slovenia/Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q60150811,Ferdinand Tancik,"Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q103813592,Q103813592,Stati Uniti d'America/Impero austro-ungarico/Seconda Repubblica di Polonia/Repubblica Popolare Ucraina/Repubblica Nazionale dell'Ucraina Occidentale
http://www.wikidata.org/entity/Q104665672,Inna Borisovna Arbitaĭlo,Russia/Ucraina/Unione Sovietica
http://www.wikidata.org/entity/Q105616757,Q105616757,"Slovenia/Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q106540968,Q106540968,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q95556563,Vojtěch Volavka,Canada/Impero austro-ungarico/Cecoslovacchia
http://www.wikidata.org/entity/Q97737073,Bishr Farès,Libano/Impero ottomano/Grande Libano
http://www.wikidata.org/entity/Q100699718,Q100699718,Bielorussia/Mozambico/Repubblica Socialista Sovietica Bielorussa
http://www.wikidata.org/entity/Q107203500,Q107203500,Unione Sovietica/Impero russo/Repubblica Socialista Sovietica Uzbeka
